date	Lawrence Ng	Neeta	Ted Trask	Neeta Joshi	Sachini Samarasinghe	Malinda Kandalama	Malinda
1407268137	86620	0	0	0	0	0	0
1408040736	86622	0	0	0	0	0	0
1408138667	86622	0	0	0	0	0	0
1408481183	86623	0	0	0	0	0	0
1408976252	86624	0	0	0	0	0	0
1408976366	86669	0	0	0	0	0	0
1408976476	86669	0	0	0	0	0	0
1408983121	86683	0	0	0	0	0	0
1409078217	86713	0	0	0	0	0	0
1409244667	86713	0	0	0	0	0	0
1409253116	86978	0	0	0	0	0	0
1409259944	87041	0	0	0	0	0	0
1409672806	87123	0	0	0	0	0	0
1410206464	87129	0	0	0	0	0	0
1410207080	87130	0	0	0	0	0	0
1410287098	87132	0	0	0	0	0	0
1410551535	87149	0	0	0	0	0	0
1411486906	87153	0	0	0	0	0	0
1411658801	88057	0	0	0	0	0	0
1412085855	88077	0	0	0	0	0	0
1412093603	88189	0	0	0	0	0	0
1412103242	88196	0	0	0	0	0	0
1412103800	88198	0	0	0	0	0	0
1412106592	88200	0	0	0	0	0	0
1412110451	88218	0	0	0	0	0	0
1412110505	88230	0	0	0	0	0	0
1412110521	88331	0	0	0	0	0	0
1412171582	88332	0	0	0	0	0	0
1412178008	88342	0	0	0	0	0	0
1412182838	88428	0	0	0	0	0	0
1412265983	88431	0	0	0	0	0	0
1412275768	88435	0	0	0	0	0	0
1412369691	88439	0	0	0	0	0	0
1412625476	88621	0	0	0	0	0	0
1412715931	88622	0	0	0	0	0	0
1413222749	88885	0	0	0	0	0	0
1414522504	91054	0	0	0	0	0	0
1415144579	91782	0	0	0	0	0	0
1415218924	91785	0	0	0	0	0	0
1415219022	91785	0	0	0	0	0	0
1415220994	91867	0	0	0	0	0	0
1415319788	91879	0	0	0	0	0	0
1415319862	91881	0	0	0	0	0	0
1415321087	91883	0	0	0	0	0	0
1415395231	91883	0	0	0	0	0	0
1415649515	91953	0	0	0	0	0	0
1415652685	91974	0	0	0	0	0	0
1415717488	91977	0	0	0	0	0	0
1415724534	91982	0	0	0	0	0	0
1415726692	92021	0	0	0	0	0	0
1415728253	92036	0	0	0	0	0	0
1415734870	92058	0	0	0	0	0	0
1415736053	92059	0	0	0	0	0	0
1415738826	92066	0	0	0	0	0	0
1415742817	92346	0	0	0	0	0	0
1415745888	92507	0	0	0	0	0	0
1415823605	92559	0	0	0	0	0	0
1415832007	92591	0	0	0	0	0	0
1416239521	92592	0	0	0	0	0	0
1416245778	92594	0	0	0	0	0	0
1416350686	92638	0	0	0	0	0	0
1416612373	92865	0	0	0	0	0	0
1417464052	92875	0	0	0	0	0	0
1417464390	92878	0	0	0	0	0	0
1417534843	92952	0	0	0	0	0	0
1417549520	92979	0	0	0	0	0	0
1417553492	92989	0	0	0	0	0	0
1417564577	93069	0	0	0	0	0	0
1417640760	93089	0	0	0	0	0	0
1418053512	93092	0	0	0	0	0	0
1418318204	93116	0	0	0	0	0	0
1418318222	93134	0	0	0	0	0	0
1418318240	93138	0	0	0	0	0	0
1418318297	93173	0	0	0	0	0	0
1418318361	93174	0	0	0	0	0	0
1418318417	93217	0	0	0	0	0	0
1418318440	93218	0	0	0	0	0	0
1418318684	93221	0	0	0	0	0	0
1418421690	93224	0	0	0	0	0	0
1418421802	93264	0	0	0	0	0	0
1418746234	93299	0	0	0	0	0	0
1418746500	93377	0	0	0	0	0	0
1418752434	93395	0	0	0	0	0	0
1418755439	93488	0	0	0	0	0	0
1418849653	93497	0	0	0	0	0	0
1418918217	93521	0	0	0	0	0	0
1418940694	93661	0	0	0	0	0	0
1418941834	93685	0	0	0	0	0	0
1419356537	99684	0	0	0	0	0	0
1421161999	99703	0	0	0	0	0	0
1421164187	99713	0	0	0	0	0	0
1421170472	99724	0	0	0	0	0	0
1421182429	99726	0	0	0	0	0	0
1421186075	99727	0	0	0	0	0	0
1421333600	99732	0	0	0	0	0	0
1421362394	99757	0	0	0	0	0	0
1421781546	99780	0	0	0	0	0	0
1421794398	99788	0	0	0	0	0	0
1421858140	99792	0	0	0	0	0	0
1421861618	99843	0	0	0	0	0	0
1421865987	99884	0	0	0	0	0	0
1421870518	99887	0	0	0	0	0	0
1421942808	99893	0	0	0	0	0	0
1421965255	99939	0	0	0	0	0	0
1421965286	100061	0	0	0	0	0	0
1421966627	100064	0	0	0	0	0	0
1422288635	100064	0	0	0	0	0	0
1422288804	100071	0	0	0	0	0	0
1422289212	100071	0	0	0	0	0	0
1422289952	100087	0	0	0	0	0	0
1422290748	100091	0	0	0	0	0	0
1422291553	100096	0	0	0	0	0	0
1422310926	100177	0	0	0	0	0	0
1422372141	100178	0	0	0	0	0	0
1422375118	100181	0	0	0	0	0	0
1422384120	100195	0	0	0	0	0	0
1422386950	100246	0	0	0	0	0	0
1422387963	100261	0	0	0	0	0	0
1422463984	100410	0	0	0	0	0	0
1422478361	100413	0	0	0	0	0	0
1422481852	100762	0	0	0	0	0	0
1422544534	100762	0	0	0	0	0	0
1422565449	100764	0	0	0	0	0	0
1422569286	100766	0	0	0	0	0	0
1422569372	100846	0	0	0	0	0	0
1422861179	100846	0	0	0	5	0	0
1422894999	100854	0	0	0	5	0	0
1422989658	100870	0	0	0	5	0	0
1423167301	100920	0	0	0	5	0	0
1423585125	100920	0	0	0	5	0	0
1423590234	100922	0	0	0	5	0	0
1423596075	100928	0	0	0	5	0	0
1423603626	101018	0	0	0	5	0	0
1423672020	101019	0	0	0	5	0	0
1423753966	101019	0	0	0	5	0	0
1424114643	101028	0	0	0	5	0	0
1424188717	101042	0	0	0	5	0	0
1424193093	101101	0	0	0	5	0	0
1424201771	101142	0	0	0	5	0	0
1424273633	101194	0	0	0	5	0	0
1424279063	101242	0	0	0	5	0	0
1424280071	101326	0	0	0	5	0	0
1424281679	101357	0	0	0	5	0	0
1424288424	101438	0	0	0	5	0	0
1424288546	101520	0	0	0	5	0	0
1424295016	101553	0	0	0	5	0	0
1424465722	101565	0	0	0	5	0	0
1424466815	101573	0	0	0	5	0	0
1424467415	101662	0	0	0	5	0	0
1424712442	101669	0	0	0	5	0	0
1424716942	101730	0	0	0	5	0	0
1424721680	101751	0	0	0	5	0	0
1424791974	101756	0	0	0	5	0	0
1424796525	101766	0	0	0	5	0	0
1424798803	101771	0	0	0	5	0	0
1424798945	101795	0	0	0	5	0	0
1424803751	101915	0	0	0	5	0	0
1424810387	101926	0	0	0	5	0	0
1424810657	101941	0	0	0	5	0	0
1424816551	102008	0	0	0	5	0	0
1424818066	102010	0	0	0	5	0	0
1424878655	102148	0	0	0	5	0	0
1424884467	102148	0	0	0	5	0	0
1424884849	102657	0	0	0	5	0	0
1424892815	102721	0	0	0	5	0	0
1424898072	102726	0	0	0	5	0	0
1425051573	102736	0	0	0	5	0	0
1425067581	102789	0	0	0	5	0	0
1425067690	102794	0	0	0	5	0	0
1425077014	102794	0	0	0	5	0	0
1425309326	102794	0	0	0	5	0	0
1425313422	102795	0	0	0	5	0	0
1425329531	102795	0	0	0	5	0	0
1425337212	102869	0	0	0	5	0	0
1425342674	102877	0	0	0	5	0	0
1425914337	102896	0	0	0	5	0	0
1425917461	102914	0	0	0	5	0	0
1425999980	102915	0	0	0	5	0	0
1426267819	102918	0	0	0	5	0	0
1426273408	102938	0	0	0	5	0	0
1426280545	102946	0	0	0	5	0	0
1426628250	102956	0	0	0	5	0	0
1426778183	102958	0	0	0	5	0	0
1426791438	102978	0	0	0	5	0	0
1426803375	102985	0	0	0	5	0	0
1426804222	102989	0	0	0	5	0	0
1426890119	103061	0	0	0	5	0	0
1427129667	103071	0	0	0	5	0	0
1427133177	103105	0	0	0	5	0	0
1427135813	103107	0	0	0	5	0	0
1427137830	103185	0	0	0	5	0	0
1427139221	103186	0	0	0	5	0	0
1427141290	103201	0	0	0	5	0	0
1427141834	103203	0	0	0	5	0	0
1427206811	103207	0	0	0	5	0	0
1427225995	103211	0	0	0	5	0	0
1427226516	103213	0	0	0	5	0	0
1427228366	131222	0	0	0	5	0	0
1427267795	131222	0	0	0	74	0	0
1427267837	131222	0	0	0	77	0	0
1427294459	131228	0	0	0	77	0	0
1427317966	131235	0	0	0	77	0	0
1427335799	131235	0	0	0	77	0	0
1427349002	131235	0	0	0	77	0	0
1427349639	131235	0	0	0	79	0	0
1427362185	131235	0	0	0	157	0	0
1427362305	131235	0	0	0	161	0	0
1427426891	131327	0	0	0	167	0	0
1427488267	131335	0	0	0	167	0	0
1427789357	131335	0	0	0	169	0	0
1427789410	131337	0	0	0	195	0	0
1427833035	131337	0	0	0	195	0	0
1427917146	131337	0	0	0	195	0	0
1427997681	131342	0	0	0	195	0	0
1428443057	131359	0	0	0	195	0	0
1428513842	131365	0	0	0	195	0	0
1428521668	131382	0	0	0	195	0	0
1428934715	131387	0	0	0	195	0	0
1429112004	131391	0	0	0	195	0	0
1429284766	235670	0	0	0	195	0	0
1429304949	235700	0	0	0	195	0	0
1429310422	235708	0	0	0	195	0	0
1430403827	235710	0	0	0	195	0	0
1431109116	235710	0	0	0	195	0	0
1431110062	235718	0	0	0	195	0	0
1431398393	235718	0	0	0	195	0	0
1432310614	235718	23	0	0	195	0	0
1432310966	235718	23	0	0	195	0	0
1432311075	235718	23	0	0	195	0	0
1432311088	235718	53	0	0	195	0	0
1432311100	235718	53	0	0	195	0	0
1432312050	235718	67	0	0	195	0	0
1432588799	235718	67	1	0	195	0	0
1432588896	235718	67	15	0	195	0	0
1432588954	235718	67	17	0	195	0	0
1432831392	235718	75	17	0	195	0	0
1432831427	235718	75	17	0	195	0	0
1432907636	235718	75	17	0	195	0	0
1432929105	235718	122	17	0	195	0	0
1433175771	235718	151	17	0	195	0	0
1433464018	235718	151	75	0	195	0	0
1433464310	235718	151	90	0	195	0	0
1434132785	235718	151	90	0	195	0	0
1434134581	235718	151	90	0	195	0	0
1434138920	235718	157	90	0	195	0	0
1434138982	235718	157	90	0	195	0	0
1434139189	235718	158	90	0	195	0	0
1434376340	235718	180	90	0	195	0	0
1435836687	235718	180	90	0	195	0	0
1435843824	235718	194	90	0	195	0	0
1436849943	235718	194	90	0	195	8	0
1438269784	235718	1029	90	0	195	8	0
1438269918	235718	1029	90	0	195	8	0
1438271263	235718	1035	90	0	195	8	0
1438273348	235718	2894	90	0	195	8	0
1438282294	235718	2894	90	0	195	8	0
1438303550	235718	2935	90	0	195	8	0
1439397263	235718	2965	90	0	195	8	0
1439399146	235718	2982	90	0	195	8	0
1441737290	235718	5196	90	0	195	8	0
1442267605	235718	5300	90	0	195	8	0
1442597513	235718	5308	90	0	195	8	0
1442954764	235718	5308	90	0	195	8	0
1443018794	235718	5331	90	0	195	8	0
1443031570	235718	5370	90	0	195	8	0
1443032056	235718	5370	90	0	195	8	0
1443119585	235718	5390	90	0	195	8	0
1443711951	235718	5465	90	0	195	8	0
1443798856	235718	5478	90	0	195	8	0
1449685453	235718	10423	90	0	195	8	0
1450283272	235718	11105	90	0	195	8	0
1450664183	235718	11363	90	0	195	8	0
1450666600	235718	11389	90	0	195	8	0
1452027169	235718	11389	93	0	195	8	0
1452028386	235718	11389	1094	0	195	8	0
1452200566	235718	11389	1143	0	195	8	0
1452207430	235718	11389	1319	0	195	8	0
1452207602	235718	11395	1324	0	195	8	0
1452212539	235718	11420	1324	0	195	8	0
1452280833	235718	11420	1325	0	195	8	0
1452793688	235718	11439	1325	0	195	8	0
1453224499	235718	11448	1325	0	195	8	0
1453225168	235718	11457	1325	0	195	8	0
1453230613	235718	11457	1325	0	195	8	0
1453323055	235718	11525	1325	0	195	8	0
1453493571	235718	11562	1325	0	195	8	0
1453704637	235718	11562	1325	0	195	8	24
1453825100	235718	11590	1325	0	195	8	24
1453837575	235718	11715	1325	0	195	8	24
1453848840	235718	11715	1325	0	195	8	24
1453953447	235718	13364	1380	0	195	8	24
1454689867	235718	13364	1431	0	195	8	24
1455057770	235718	13364	1447	0	195	8	24
1455660753	235718	13423	1447	0	195	8	24
1455830872	235718	13459	1447	0	195	8	24
1455831309	235718	13475	1447	0	195	8	24
1455831437	235718	13502	1447	0	195	8	24
1455894228	235718	13502	1708	0	195	8	24
1455897059	235718	13502	1713	0	195	8	24
1456110772	235718	13525	1713	0	195	8	24
1456266997	235718	13525	1718	0	195	8	24
1456267705	235718	13525	1724	0	195	8	24
1456269047	235718	14252	1724	0	195	8	24
1456506668	235718	14252	2037	0	195	8	24
1456806554	235718	14268	2037	0	195	8	24
1457141043	235718	14273	2037	0	195	8	24
1457452520	235718	14273	2045	0	195	8	24
1457488422	235718	14273	2051	0	195	8	24
1457563999	235718	14273	2249	0	195	8	24
1457644085	235718	14273	2539	0	195	8	24
1457644884	235718	14273	2683	0	195	8	24
1457646092	235718	14273	2684	0	195	8	24
1457987370	235718	14281	2684	0	195	8	24
1457991490	235718	14281	2692	0	195	8	24
1458004818	235718	14303	2692	0	195	8	24
1458593314	235718	14310	2692	0	195	8	24
1458765547	235718	14382	2692	0	195	8	24
1458914088	235718	14390	2692	0	195	8	24
1458991612	235718	14405	2692	0	195	8	24
1459133960	235718	14421	2692	0	195	8	24
1460047216	235718	14429	2692	0	195	8	24
1460047380	235718	14451	2730	0	195	8	24
1460375644	235718	14636	2730	0	195	8	24
1460380408	235718	14685	2764	0	195	8	24
1460407428	235718	14736	2764	0	195	8	24
1460569764	235718	14736	2764	0	195	8	24
1461074070	235718	14755	2764	0	195	8	24
1461270656	235718	14768	2835	0	195	8	24
1461354039	235718	14768	2841	0	195	8	24
1461551595	235718	14768	2841	0	195	8	24
1461552637	235718	14791	2841	0	195	8	24
1462227334	235718	14959	2841	0	195	8	24
1463152815	235718	14959	2906	0	195	8	24
1463157617	235718	14959	2945	0	195	8	24
1463451445	235718	14959	2980	0	195	8	24
1463451804	235718	14959	3031	0	195	8	24
1463680867	235718	15014	3031	0	195	8	24
1463758054	235718	15029	3031	0	195	8	24
1464031184	235718	15037	3031	0	195	8	24
1464096601	235718	15043	3031	0	195	8	24
1464208709	235718	15043	3031	0	195	8	24
1464237088	235718	15084	3031	0	195	8	24
1464237194	235718	15115	3031	0	195	8	24
1464293889	235718	15115	3031	0	195	8	24
1464793340	235718	15120	3102	0	195	8	24
1464880180	235718	15120	3102	0	195	8	24
1464895801	235718	15139	3102	0	195	8	24
1464902654	235718	15155	3102	0	195	8	24
1465319220	235718	15195	3168	0	195	8	24
1465424498	235718	15216	3168	0	195	8	24
1466648922	235718	15263	3168	0	195	8	24
1466649684	235718	15270	3168	0	195	8	24
1466650102	235718	15335	3168	0	195	8	24
1466701155	235718	15352	3168	0	195	8	24
1466735347	235718	15361	3168	0	195	8	24
1466736165	235718	15387	3174	0	195	8	24
1468180054	235718	15459	3240	0	195	8	24
1468292316	235718	15459	3262	0	195	8	24
1468876762	235718	15459	3270	0	195	8	24
1468876920	235718	15459	3277	0	195	8	24
1469121939	235718	15459	3315	0	195	8	24
1469157573	235718	15487	3315	0	195	8	24
1469552934	235718	15487	3346	0	195	8	24
1469589171	235718	15552	3360	0	195	8	24
1469640240	235718	15577	3360	0	195	8	24
1469723242	235718	15577	3362	0	195	8	24
1469725928	235718	15602	3362	0	195	8	24
1469780404	235718	15617	3362	0	195	8	24
1475506438	235718	15618	3362	0	195	8	24
1475508328	235718	15765	3362	0	195	8	24
1475605531	235718	15898	3362	0	195	8	24
1475759454	235718	15918	3362	0	195	8	24
1476301940	235718	15918	3362	0	195	8	24
1477421556	235718	15918	3376	0	195	8	24
1477427877	235718	15970	3439	0	195	8	24
1477433230	235718	15970	3447	0	195	8	24
1477694191	235718	15970	3450	0	195	8	24
1477939269	235718	15970	3497	0	195	8	24
1477941012	235718	15970	3575	0	195	8	24
1478115005	235718	15970	3575	0	195	8	24
1478288605	235718	15970	3627	0	195	8	24
1478551645	235718	15970	3628	0	195	8	24
1478792001	235718	15970	3651	0	195	8	24
1478814382	235718	15970	3651	0	195	8	24
1478816505	235718	15970	3665	0	195	8	24
1478878515	235718	15970	3682	0	195	8	24
1479419832	235718	15970	3685	0	195	8	24
1479846967	235718	15970	3687	0	195	8	24
1480530088	235718	15970	3687	0	195	8	24
1481670500	235718	15970	3740	0	195	8	24
1482181507	235718	15970	3740	1	195	8	24
1482336682	235718	15970	3746	1	195	8	24
1482340119	235718	15970	3753	1	195	8	24
1482353511	235718	15970	3771	11	195	8	24
1482359008	235718	15970	3771	32	195	8	24
1483455272	235718	15970	3796	76	195	8	24
1484342644	235718	15970	3796	77	195	8	24
1484684949	235718	15970	3796	99	195	8	24
1484772851	235718	15970	3800	100	195	8	24
1485799035	235718	15970	120285	116	195	8	24
1485877540	235718	15970	120293	116	195	8	24
1485877851	235718	15970	120317	116	195	8	24
1485877920	235718	15970	120318	116	195	8	24
1485878121	235718	15970	120340	116	195	8	24
1486146025	235718	15970	120354	116	195	8	24
1486412376	235718	15970	120363	116	195	8	24
1486499625	235718	15970	120404	116	195	8	24
1486755546	235718	15970	120405	116	195	8	24
1487109340	235718	15970	120444	116	195	8	24
1487277883	235718	15970	120444	1305	195	8	24
1487783266	235718	15970	120444	1313	195	8	24
1487946215	235718	15970	120503	1347	195	8	24
1487965862	235718	15970	120503	1369	195	8	24
1487966474	235718	15970	120503	1429	195	8	24
1487966964	235718	15970	120503	1429	195	8	24
1488313813	235718	15970	120503	1461	195	8	24
1488406636	235718	15970	120525	1461	195	8	24
1488407109	235718	15970	120587	1461	195	8	24
1488409193	235718	15970	120620	1461	195	8	24
1488560599	235718	15970	120718	1461	195	8	24
1488773682	235718	15970	120718	1545	195	8	24
1488814084	235718	15970	120718	1545	195	8	24
1488815988	235718	15970	120747	1545	195	8	24
1489686589	235718	15970	120753	1545	195	8	24
1490023066	235718	15970	120755	1545	195	8	24
1490035644	235718	15970	120761	1545	195	8	24
1490041875	235718	15970	120763	1545	195	8	24
1490113585	235718	15970	120763	1545	195	8	24
1490120437	235718	15970	120764	1545	195	8	24
1490128257	235718	15970	120783	1545	195	8	24
